id,x,y
Accountant1,0.7723746,0.5082133
Accountant2,0.7266754,0.51404023
Accountant3,0.76628333,0.52430505
Accountant4,0.766017,0.51374245
Accountant5,0.761227,0.50733334
Accountant6,0.7564843,0.51058865
Accountant7,0.7752102,0.49471998
Accountant8,0.7525606,0.5067027
Accountant9,0.7431502,0.49213353
Accountant10,0.74111027,0.50418764
Accountant11,0.77314705,0.5166407
Accountant12,0.76330227,0.53239673
Accountant13,0.7453006,0.5020848
Accountant14,0.9144807,0.57781076
Accountant15,0.7401441,0.53004587
Accountant16,0.75973713,0.508216
Accountant17,0.7241164,0.47815174
Accountant18,0.720305,0.529785
Accountant19,0.7560354,0.49983957
Accountant20,0.8235072,0.7236913
Accountant21,0.7574223,0.49001887
Accountant22,0.76129276,0.50665396
Accountant23,0.9180862,0.70232856
Accountant24,0.7477534,0.5208173
Accountant25,0.7559684,0.5236732
Accountant26,0.73244166,0.52367294
Accountant27,0.70736927,0.51579756
Accountant28,0.75935227,0.5024705
Accountant29,0.8385306,0.54931176
Accountant30,0.81691456,0.5742124
Accountant31,0.72163224,0.5309045
Accountant32,0.70964813,0.51761925
Accountant33,0.72214335,0.62295943
Accountant34,0.7398939,0.49952778
Accountant35,0.75611764,0.5026647
Accountant36,0.7419694,0.5008373
Accountant37,0.7486728,0.4905588
Accountant38,0.71931267,0.4682518
Accountant39,0.7434792,0.49596283
Accountant40,0.7221736,0.5163725
Accountant41,0.7603085,0.51162636
Accountant42,0.74545336,0.5280505
Accountant43,0.626786,0.46731758
Accountant44,0.76002383,0.5275567
Accountant45,0.7236113,0.5187263
Accountant46,0.76292163,0.52698493
Accountant47,0.7468783,0.5041958
Accountant48,0.75133306,0.5277588
Accountant49,0.7551116,0.5109993
Accountant50,0.69167465,0.4597488
Accountant51,0.73833895,0.5192777
Accountant52,0.75320727,0.51640564
Accountant53,0.7345802,0.49932852
Accountant54,0.75102466,0.50733125
Accountant55,0.7594366,0.5041132
Accountant56,0.9517578,0.6576435
Accountant57,0.7556444,0.49786553
Accountant58,0.72152805,0.50515413
Accountant59,0.7493123,0.48997766
Accountant60,0.782765,0.52887595
Accountant61,0.7485542,0.5073396
Accountant62,0.7639893,0.5142267
Accountant63,0.7243697,0.518121
Accountant64,0.7127538,0.51676
Accountant65,0.8325919,0.6029846
Accountant66,0.70820564,0.37913832
Accountant67,0.7570698,0.5043654
Accountant68,0.72827214,0.46739632
Accountant69,0.7239229,0.548915
Accountant70,0.6592888,0.5150032
Accountant71,0.9703763,0.43971017
Accountant72,0.71420705,0.5214884
Accountant73,0.7603034,0.52360016
Accountant74,0.738874,0.48913312
Accountant75,0.7679275,0.52543586
Accountant76,0.809647,0.52566475
Accountant77,0.78878576,0.520974
Accountant78,0.71845067,0.4724378
Accountant79,0.7719456,0.5341026
Accountant80,0.8563891,0.52769476
Accountant81,0.74783576,0.5011857
Accountant82,0.7536028,0.5330024
Accountant83,0.78498584,0.44527957
Accountant84,0.95677865,0.49364877
Accountant85,0.7600876,0.5298035
Accountant86,0.73759884,0.51160353
Accountant87,0.7210519,0.44258252
Accountant88,0.8495139,0.42236334
Accountant89,0.8319031,0.5627331
Accountant90,0.7547388,0.4953802
Accountant91,0.7491514,0.51213914
Accountant92,0.7867405,0.53051853
Accountant93,0.7451123,0.47741082
Accountant94,0.74836487,0.51022387
Accountant95,0.7366724,0.50747204
Accountant96,0.75681335,0.5379161
Accountant97,0.73824173,0.41542792
Accountant98,0.75861794,0.4973841
Accountant99,0.7656887,0.47496697
Accountant100,0.75587565,0.5097572
Cashier1,0.28031632,0.811603
Cashier2,0.3028119,0.7673871
Cashier3,0.30139232,0.8374254
Cashier4,0.25089824,0.8187195
Cashier5,0.3115076,0.8102935
Cashier6,0.30989066,0.84318095
Cashier7,0.26155958,0.86071676
Cashier8,0.31513494,0.7621352
Cashier9,0.26823017,0.85010934
Cashier10,0.30255774,0.8076131
Cashier11,0.27929795,0.86402076
Cashier12,0.31432423,0.8408619
Cashier13,0.32254654,0.8328641
Cashier14,0.28783846,0.80331624
Cashier15,0.24992189,0.87241507
Cashier16,0.34925565,0.8705935
Cashier17,0.23396513,0.8211176
Cashier18,0.27506018,0.8115505
Cashier19,0.6970922,0.668265
Cashier20,0.3276116,0.8086103
Cashier21,0.25894886,0.8059909
Cashier22,0.2638139,0.7407001
Cashier23,0.29033044,0.8483685
Cashier24,0.36925626,0.87235516
Cashier25,0.23743501,0.848263
Cashier26,0.24126321,0.8068595
Cashier27,0.30028147,0.8042197
Cashier28,0.30488497,0.8309703
Cashier29,0.27591333,0.79656243
Cashier30,0.31445277,0.8193935
Cashier31,0.30052817,0.8464386
Cashier32,0.30368122,0.8000884
Cashier33,0.28736487,0.82485604
Cashier34,0.29356435,0.7007868
Cashier35,0.30262998,0.8362156
Cashier36,0.27342767,0.8584203
Cashier37,0.25387037,0.85671633
Cashier38,0.2585599,0.79241055
Cashier39,0.28688353,0.7995511
Cashier40,0.27774835,0.87629056
Cashier41,0.3160086,0.90939367
Cashier42,0.29626507,0.836126
Cashier43,0.23962837,0.794918
Cashier44,0.30527285,0.7579685
Cashier45,0.29670122,0.78952837
Cashier46,0.28964835,0.81678295
Cashier47,0.2848241,0.8211466
Cashier48,0.32843354,0.90428716
Cashier49,0.28130597,0.8273459
Cashier50,0.26742366,0.8853207
Cashier51,0.31871665,0.8646268
Cashier52,0.26714146,0.80431163
Cashier53,0.2849715,0.84464574
Cashier54,0.32508454,0.8509013
Cashier55,0.3046176,0.84698296
Cashier56,0.27935743,0.82219213
Cashier57,0.2872956,0.8095102
Cashier58,0.24616748,0.78896636
Cashier59,0.3591872,0.90710974
Cashier60,0.29669273,0.85290676
Cashier61,0.27843505,0.8841674
Cashier62,0.263673,0.86382395
Cashier63,0.30743822,0.82457376
Cashier64,0.27036986,0.7955166
Cashier65,0.30228433,0.8592571
Cashier66,0.29147756,0.8356649
Cashier67,0.24833195,0.85157126
Cashier68,0.24932131,0.7962693
Cashier69,0.25756526,0.86958873
Cashier70,0.29530573,0.82532835
Cashier71,0.3191579,0.7740634
Cashier72,0.28992027,0.8568948
Cashier73,0.29497218,0.83306944
Cashier74,0.31130466,0.81655246
Cashier75,0.27604383,0.76097655
Cashier76,0.32411677,0.82001096
Cashier77,0.27943215,0.8382464
Cashier78,0.2780088,0.8465737
Cashier79,0.30362567,0.83727735
Cashier80,0.28117064,0.8136636
Cashier81,0.30261767,0.83967704
Cashier82,0.2988249,0.81557804
