keywords,filename,id,year,_image_url,_model,_age,_gender,_dominant_race,_dominant_emotion,_glasses,_tie,_book,_laptop,_phone,_chair,_table,_bag,_watch,_uniform,_pen,_desk,_gloves,_apron,_monitor,_clipboard,_profession
"gender:man,race:middle_eastern,emotion:neutral",Accountant1.png,Accountant1,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant1.png,sdxl,23.0,Man,middle eastern,neutral,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:asian,emotion:happy",Accountant2.png,Accountant2,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant2.png,sdxl,31.0,Man,asian,happy,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:white,emotion:happy",Accountant3.png,Accountant3,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant3.png,sdxl,27.0,Man,white,happy,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:middle_eastern,emotion:neutral",Accountant4.png,Accountant4,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant4.png,sdxl,24.0,Man,middle eastern,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:white,emotion:neutral",Accountant5.png,Accountant5,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant5.png,sdxl,29.0,Man,white,neutral,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:middle_eastern,emotion:happy",Accountant6.png,Accountant6,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant6.png,sdxl,29.0,Man,middle eastern,happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Accountant
"gender:man,race:middle_eastern,emotion:neutral",Accountant7.png,Accountant7,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant7.png,sdxl,30.0,Man,middle eastern,neutral,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:latino_hispanic,emotion:happy",Accountant8.png,Accountant8,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant8.png,sdxl,31.0,Man,latino hispanic,happy,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:middle_eastern,emotion:happy",Accountant9.png,Accountant9,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant9.png,sdxl,26.0,Man,middle eastern,happy,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:middle_eastern,emotion:happy",Accountant10.png,Accountant10,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant10.png,sdxl,29.0,Man,middle eastern,happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:white,emotion:neutral",Accountant11.png,Accountant11,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant11.png,sdxl,25.0,Man,white,neutral,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:latino_hispanic,emotion:sad",Accountant12.png,Accountant12,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant12.png,sdxl,27.0,Man,latino hispanic,sad,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:middle_eastern,emotion:neutral",Accountant13.png,Accountant13,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant13.png,sdxl,26.0,Man,middle eastern,neutral,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:middle_eastern,emotion:happy",Accountant14.png,Accountant14,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant14.png,sdxl,29.0,Man,middle eastern,happy,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Accountant
"gender:man,race:white,emotion:happy",Accountant15.png,Accountant15,2025,https://huggingface.co/datasets/Arifacc12345/ai-image-bias-images/resolve/main/images_small/sdxl_base_1/Accountant/Accountant15.png,sdxl,30.0,Man,white,happy,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Accountant
