id,x,y
Accountant1,0.78560996,0.7505252
Accountant2,0.82536066,0.7511117
Accountant3,0.8017955,0.75696254
Accountant4,0.68958783,0.71624863
Accountant5,0.7469557,0.60455
Accountant6,0.8196261,0.7411478
Accountant7,0.8068407,0.7513214
Accountant8,0.71255994,0.6965618
Accountant9,0.7365489,0.6795801
Accountant10,0.81673354,0.7470133
Accountant11,0.68722004,0.7271171
Accountant12,0.7972027,0.763733
Accountant13,0.6666687,0.7397929
Accountant14,0.6724172,0.6810378
Accountant15,0.80700165,0.7529019
Accountant16,0.63364893,0.75477844
Accountant17,0.6459367,0.7281702
Accountant18,0.7937431,0.64145434
Accountant19,0.7931056,0.7565449
Accountant20,0.6618453,0.7365616
Accountant21,0.6737825,0.7492155
Accountant22,0.83604914,0.75532055
Accountant23,0.6614439,0.72054076
Accountant24,0.64631665,0.6661675
Accountant25,0.6861089,0.69042015
Accountant26,0.71811193,0.7796576
Accountant27,0.80926126,0.73105574
Accountant28,0.80759597,0.71321636
Accountant29,0.7215292,0.7361108
Accountant30,0.7824409,0.7532145
Accountant31,0.7941676,0.7444668
Accountant32,0.67362833,0.6712082
Accountant33,0.8311686,0.7755101
Accountant34,0.81764126,0.75017637
Accountant35,0.6400758,0.8850569
Accountant36,0.7942584,0.7501708
Accountant37,0.809773,0.7499228
Accountant38,0.7528301,0.7517772
Accountant39,0.6867584,0.7320116
Accountant40,0.86315644,0.79444164
Accountant41,0.83249587,0.74644643
Accountant42,0.66646785,0.73486054
Accountant43,0.7004153,0.8123696
Accountant44,0.80797964,0.7530011
Accountant45,0.82028383,0.7517524
Accountant46,0.8196107,0.75842494
Accountant47,0.81379604,0.7523911
Accountant48,0.8101766,0.7432904
Accountant49,0.63906336,0.7484449
Accountant50,0.8037376,0.7574437
Accountant51,0.64131296,0.7202993
Accountant52,0.6478857,0.6958416
Accountant53,0.8244677,0.75116426
Accountant54,0.79573387,0.7528617
Accountant55,0.6042379,0.7895023
Accountant56,0.855005,0.74025947
Accountant57,0.8140772,0.75196993
Accountant58,0.8189274,0.7465277
Accountant59,0.6782625,0.7185618
Accountant60,0.77366024,0.7464747
Accountant61,0.7957501,0.73319304
Accountant62,0.83364725,0.79822
Accountant63,0.8306789,0.7854146
Accountant64,0.6601636,0.66252637
Accountant65,0.80531406,0.768051
Accountant66,0.8107317,0.74759644
Accountant67,0.85468847,0.74994826
Accountant68,0.7849194,0.74776596
Accountant69,0.793885,0.7682686
Accountant70,0.81474864,0.75710243
Accountant71,0.67086846,0.68816376
Accountant72,0.7145571,0.85300833
Accountant73,0.6625751,0.6868563
Accountant74,0.79019046,0.75223356
Accountant75,0.833335,0.7556298
Accountant76,0.828899,0.7517949
Accountant77,0.7638324,0.75360984
Accountant78,0.65040886,0.7308901
Accountant79,0.84387463,0.75030243
Accountant80,0.64180994,0.7253374
Accountant81,0.7984737,0.7667228
Accountant82,0.7653569,0.7210098
Accountant83,0.8354052,0.74744314
Accountant84,0.797467,0.7382139
Accountant85,0.7318349,0.7745456
Accountant86,0.8310429,0.7551411
Accountant87,0.80821365,0.76547015
Accountant88,0.7072257,0.74614704
Accountant89,0.80431217,0.74392897
Accountant90,0.34254137,0.613069
Accountant91,0.7885339,0.74450153
Accountant92,0.66501766,0.71676487
Accountant93,0.80893856,0.7556274
Accountant94,0.68963474,0.69358486
Accountant95,0.687893,0.7392775
Accountant96,0.82022697,0.7497497
Accountant97,0.7031374,0.7739755
Accountant98,0.71437496,0.68066245
Accountant99,0.65956426,0.71377486
Accountant100,0.7978148,0.7494719
cashier1,0.057032414,0.5117508
cashier2,0.06396621,0.4811628
cashier3,0.05610143,0.5171291
cashier4,0.0544814,0.5104967
cashier5,0.06346043,0.5164344
cashier6,0.05795279,0.52427536
cashier7,0.035377916,0.5481758
cashier8,0.05873842,0.50866824
cashier9,0.06663945,0.4683793
cashier10,0.0862235,0.56000453
cashier11,0.107497945,0.5089132
cashier12,0.05056039,0.51532996
cashier13,0.058014102,0.5121644
cashier14,0.06267214,0.50741416
cashier15,0.05046622,0.50537956
cashier16,0.06618153,0.51771516
cashier17,0.06384597,0.51239187
cashier18,0.05959312,0.5144073
cashier19,0.10383914,0.523338
cashier20,0.06147489,0.5111599
cashier21,0.036554243,0.57021207
cashier22,0.04639974,0.5498369
cashier23,0.03843209,0.46777043
cashier24,0.014779748,0.46486744
cashier25,0.059332367,0.51985276
cashier26,0.051947538,0.50607055
cashier27,0.053723853,0.5087638
cashier28,0.056334633,0.5106912
cashier29,0.060675085,0.5075913
cashier30,0.062062398,0.5197085
cashier31,0.096045,0.4609755
cashier32,0.03551166,0.53141767
cashier33,0.05244562,0.5106486
cashier34,0.09752184,0.54064316
cashier35,0.06090727,0.5057404
cashier36,0.053929213,0.5074309
cashier37,0.060720548,0.5052567
cashier38,0.02227743,0.5074433
cashier39,0.05799916,0.5040261
cashier40,0.015432133,0.5576168
cashier41,0.052376814,0.509089
cashier42,0.059327643,0.5008374
cashier43,0.0,0.5267462
cashier44,0.040415313,0.51000136
cashier45,0.053058296,0.5188428
cashier46,0.06212998,0.5179481
cashier47,0.04032708,0.5247345
cashier48,0.060927957,0.4952055
cashier49,0.06105651,0.5031737
cashier50,0.056598805,0.5203079
cashier51,0.055279654,0.5142372
cashier52,0.053832386,0.5062391
cashier53,0.05876104,0.50725394
cashier54,0.055361375,0.5150004
cashier55,0.039472595,0.47581893
cashier56,0.053017333,0.5100653
cashier57,0.060860213,0.5086791
cashier58,0.06042731,0.50437945
cashier59,0.033698622,0.5276241
cashier60,0.051093504,0.511874
cashier61,0.060657836,0.5230336
cashier62,0.066525795,0.51088953
cashier63,0.054848943,0.5186769
cashier64,0.01449436,0.49220192
cashier65,0.057631824,0.50996435
cashier66,0.05147565,0.5395208
cashier67,0.05886256,0.50787383
cashier68,0.059606582,0.5147202
cashier69,0.05914645,0.5329664
cashier70,0.06119003,0.5162985
cashier71,0.056339405,0.5012189
cashier72,0.05469977,0.5016476
cashier73,0.093239844,0.52024263
cashier74,0.047957458,0.514154
cashier75,0.050175074,0.5147272
cashier76,0.0605919,0.51269233
cashier77,0.034440145,0.850298
cashier78,0.041451883,0.53182936
cashier79,0.053894695,0.5063846
cashier80,0.06995709,0.5076928
cashier81,0.054407433,0.51405954
cashier82,0.05423714,0.5040631
cashier83,0.05284004,0.51482844
cashier84,0.06192309,0.51389796
cashier85,0.060816295,0.5108985
cashier86,0.061001986,0.5022205
cashier87,0.023485515,0.4719381
cashier88,0.058116347,0.5104951
cashier89,0.09310413,0.5204774
cashier90,0.05479595,0.50911874
cashier91,0.09939352,0.48399663
cashier92,0.05313057,0.51128
cashier93,0.056902666,0.50948083
cashier94,0.036065686,0.55218774
cashier95,0.06340662,0.50966203
cashier96,0.0,0.45865366
cashier97,0.048156258,0.50791955
cashier98,0.057575446,0.51587605
cashier99,0.05276504,0.49819452
cashier100,0.05818459,0.5101588
CEO1,0.47344968,0.95164305
CEO2,0.51662034,0.98411447
CEO3,0.5263262,1.0
CEO4,0.53892493,0.9666731
CEO5,0.48832208,0.9216027
CEO6,0.48070118,0.9500989
CEO7,0.5237717,0.99790573
CEO8,0.54657906,1.0
CEO9,0.53545517,1.0
CEO10,0.53648746,0.99820846
CEO11,0.549942,0.984592
CEO12,0.5347762,0.9801098
